"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj","Name","MOA","Phase"
"DNMT3A",721,"DNA methyltransferase 3 alpha",-1.083327106,7.42e-72,-1.14288429,2.09e-30,"azacitidine","DNA methyltransferase inhibitor","Launched"
"DNMT3A",721,"DNA methyltransferase 3 alpha",-1.083327106,7.42e-72,-1.14288429,2.09e-30,"decitabine","DNA methyltransferase inhibitor","Launched"
"DNMT3A",721,"DNA methyltransferase 3 alpha",-1.083327106,7.42e-72,-1.14288429,2.09e-30,"SGI-1027","DNA methyltransferase inhibitor","Preclinical"
"B4GALT1",724,"beta-1,4-galactosyltransferase 1",0.79516619,2.64e-47,1.294235775,6.1e-50,"N-acetyl-D-glucosamine",NA,"Phase 2/Phase 3"
"CKB",730,"creatine kinase B",-1.114844875,5.99e-98,-2.248307298,1.36e-23,"creatine",NA,"Launched"
"MAP3K10",732,"mitogen-activated protein kinase kinase kinase 10",1.148473032,1.91e-36,1.202512628,7.54e-84,"URMC-099","mixed lineage kinase inhibitor","Preclinical"
"GNAS",733,"GNAS complex locus",-0.684115144,1.79e-228,-0.615172492,4.66e-17,"forskolin","adenylyl cyclase activator","Launched"
"COX6C",741,"cytochrome c oxidase subunit 6C",-1.136724002,7.66e-76,-0.946844388,4.57e-28,"cholic-acid","bile acid","Launched"
"LSS",743,"lanosterol synthase",-1.468139647,3.38e-69,-1.067616539,3.95e-30,"Ro-48-8071","oxidosqualene cyclase inhibitor","Preclinical"
"ODC1",749,"ornithine decarboxylase 1",0.748765829,2.83e-62,0.879022978,8.62e-34,"eflornithine","ornithine decarboxylase inhibitor","Launched"
"ODC1",749,"ornithine decarboxylase 1",0.748765829,2.83e-62,0.879022978,8.62e-34,"MC-1",NA,"Phase 3"
"ODC1",749,"ornithine decarboxylase 1",0.748765829,2.83e-62,0.879022978,8.62e-34,"putrescine","tissue transglutaminase inhibitor","Phase 2"
"ODC1",749,"ornithine decarboxylase 1",0.748765829,2.83e-62,0.879022978,8.62e-34,"spermine",NA,"Preclinical"
"SLC16A1",750,"solute carrier family 16 member 1",0.642941233,2.01e-70,0.614875233,4.09e-29,"AR-C155858","monocarboxylate transporter inhibitor","Preclinical"
"SLC16A1",750,"solute carrier family 16 member 1",0.642941233,2.01e-70,0.614875233,4.09e-29,"AZD3965","monocarboxylate transporter inhibitor","Phase 1"
"SLC16A1",750,"solute carrier family 16 member 1",0.642941233,2.01e-70,0.614875233,4.09e-29,"CHC","monocarboxylate transporter inhibitor","Preclinical"
"SLC16A1",750,"solute carrier family 16 member 1",0.642941233,2.01e-70,0.614875233,4.09e-29,"UK-5099","monocarboxylate transporter inhibitor","Preclinical"
"NDUFS5",755,"NADH:ubiquinone oxidoreductase subunit S5",-1.27186521,4.09e-156,-0.851434247,2.49e-18,"coenzyme-I",NA,"Phase 2"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"acenocoumarol","vitamin K antagonist","Launched"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"dicoumarol","NADPH inhibitor","Launched"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"menadione","mitochondrial DNA polymerase inhibitor, phosphatase inhibitor","Launched"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"menadione-bisulfite","vitamin K","Phase 2"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"phenindione","vitamin K antagonist","Launched"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"phenprocoumon","vitamin K antagonist","Launched"
"VKORC1",756,"vitamin K epoxide reductase complex subunit 1",-1.300553515,8.43e-51,-1.681073623,4.13e-41,"warfarin","vitamin K antagonist","Launched"
"COX4I1",757,"cytochrome c oxidase subunit 4I1",-0.543502624,1.15e-54,-0.845906524,1.27e-37,"cholic-acid","bile acid","Launched"
"CSF1",778,"colony stimulating factor 1",2.811089318,9.8e-73,1.711467838,7.48e-27,"axitinib","PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","Launched"
"CSF1",778,"colony stimulating factor 1",2.811089318,9.8e-73,1.711467838,7.48e-27,"linifanib","PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","Phase 3"
"CTPS1",780,"CTP synthase 1",0.783159616,4.53e-68,0.864084353,1.48e-28,"acivicin","gamma glutamyltransferase inhibitor","Phase 2"
"CTPS1",780,"CTP synthase 1",0.783159616,4.53e-68,0.864084353,1.48e-28,"hexylene-glycol",NA,"Preclinical"
"CTPS1",780,"CTP synthase 1",0.783159616,4.53e-68,0.864084353,1.48e-28,"L-glutamine",NA,"Launched"
"P2RX4",789,"purinergic receptor P2X 4",1.864597768,1.5e-135,1.11666847,3.52e-18,"5-BDBD","purinergic receptor antagonist","Preclinical"
"CTSV",795,"cathepsin V",-2.304883559,1.27e-39,-3.798377018,2.11e-54,"cathepsin-inhibitor-1","cathepsin inhibitor","Preclinical"
"GPX4",796,"glutathione peroxidase 4",-0.629225092,6.92e-105,-1.449007082,1.62e-20,"glutathione","antioxidant","Phase 3"
"P4HA1",805,"prolyl 4-hydroxylase subunit alpha 1",-1.801890084,3.97e-162,-1.009907247,1.33e-16,"L-proline","glutamate receptor agonist","Launched"
"P4HA1",805,"prolyl 4-hydroxylase subunit alpha 1",-1.801890084,3.97e-162,-1.009907247,1.33e-16,"succinic-acid",NA,"Launched"
"SGPL1",813,"sphingosine-1-phosphate lyase 1",0.498575162,3.87e-35,1.382348363,4.56e-65,"MC-1",NA,"Phase 3"
"ACSL3",817,"acyl-CoA synthetase long chain family member 3",-0.626846255,2.67e-44,-0.699362861,1.04e-42,"icosapent","platelet aggregation inhibitor","Launched"
"SLC9A1",825,"solute carrier family 9 member A1",0.871303414,9.55e-34,1.143539138,1.39e-67,"amiloride","sodium channel blocker","Launched"
"SLC9A1",825,"solute carrier family 9 member A1",0.871303414,9.55e-34,1.143539138,1.39e-67,"cariporide","sodium/hydrogen exchanger inhibitor","Phase 3"
"SLC9A1",825,"solute carrier family 9 member A1",0.871303414,9.55e-34,1.143539138,1.39e-67,"zoniporide","sodium/hydrogen exchanger inhibitor","Phase 3"
"MALT1",830,"MALT1 paracaspase",0.977197282,3.52e-50,1.365555718,3.11e-35,"mepazine","MALT1 inhibitor (JH)","Phase 2"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"ARQ-621","kinesin-like spindle protein inhibitor","Phase 1"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"BRD9876","kinesin inhibitor","Preclinical"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"filanesib","kinesin inhibitor, kinesin-like spindle protein inhibitor","Phase 3"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"ispinesib","kinesin inhibitor","Phase 2"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"K-858","kinesin-like spindle protein inhibitor","Preclinical"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"litronesib","kinesin-like spindle protein inhibitor","Phase 2"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"monastrol","kinesin inhibitor","Preclinical"
"KIF11",831,"kinesin family member 11",-0.557358516,3.19e-34,-1.81103656,4.38e-64,"SB-743921","kinesin-like spindle protein inhibitor","Phase 1/Phase 2"
"ENPP1",838,"ectonucleotide pyrophosphatase/phosphodiesterase 1",-1.35318203,8.24e-31,-2.11920498,1.12e-79,"amifostine","reducing agent","Launched"
"ENPP1",838,"ectonucleotide pyrophosphatase/phosphodiesterase 1",-1.35318203,8.24e-31,-2.11920498,1.12e-79,"ribavirin","antiviral","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"(R)-(-)-rolipram","phosphodiesterase inhibitor","Phase 1"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"(S)-(+)-rolipram","phosphodiesterase inhibitor","Phase 1"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"adenosine-phosphate","adenosine receptor agonist","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"aminophylline","adenosine receptor antagonist","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"amlexanox","histamine receptor modulator","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"apremilast","phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"atizoram","phosphodiesterase inhibitor","Phase 2"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"caffeine","adenosine receptor antagonist, phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"cilomilast","phosphodiesterase inhibitor","Phase 3"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"crisaborole","phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"dipyridamole","phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"doxofylline","adenosine receptor antagonist","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"IBMX","phosphodiesterase inhibitor","Preclinical"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"ibudilast","leukotriene receptor antagonist, phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"pentoxifylline","phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"piclamilast","phosphodiesterase inhibitor","Phase 2"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"Ro-20-1724","phosphodiesterase inhibitor","Preclinical"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"roflumilast","phosphodiesterase inhibitor","Launched"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"tetomilast","phosphodiesterase inhibitor","Phase 2"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"zaprinast","phosphodiesterase inhibitor","Phase 2"
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57,"zardaverine","phosphodiesterase inhibitor","Phase 2"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"ARV-825","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"BI-2536","PLK inhibitor","Phase 2"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"CPI-0610","bromodomain inhibitor","Phase 2"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"CPI-203","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"fedratinib","FLT3 inhibitor, JAK inhibitor","Launched"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"I-BET-762","bromodomain inhibitor","Phase 2"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"I-BET151","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"JQ1-(+)","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"LY303511","casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"OTX015","bromodomain inhibitor","Phase 1/Phase 2"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"OXF-BD-02","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"PFI-1","bromodomain inhibitor","Preclinical"
"BRD4",856,"bromodomain containing 4",0.734866979,1.46e-90,0.802859474,7.65e-20,"XD-14","bromodomain inhibitor","Preclinical"
"SMS",857,"spermine synthase",-0.598153733,8.85e-48,-1.06880909,5.6e-35,"spermine",NA,"Preclinical"
"UCHL5",858,"ubiquitin C-terminal hydrolase L5",0.869900893,4.73e-81,0.818732281,2.52e-21,"WP1130","deubiquitinase inhibitor","Preclinical"
"RPL23A",865,"ribosomal protein L23a",-1.614863823,0,-0.673547319,2.21e-13,"anisomycin","DNA synthesis inhibitor","Preclinical"
"RPL23A",865,"ribosomal protein L23a",-1.614863823,0,-0.673547319,2.21e-13,"puromycin","protein synthesis inhibitor","Preclinical"
"ACSS2",870,"acyl-CoA synthetase short chain family member 2",-2.555573752,6.66e-145,-0.896455786,1.06e-15,"adenosine-phosphate","adenosine receptor agonist","Launched"
"ACSS2",870,"acyl-CoA synthetase short chain family member 2",-2.555573752,6.66e-145,-0.896455786,1.06e-15,"adenosine-triphosphate","adenosine receptor agonist","Phase 2"
"HADH",879,"hydroxyacyl-CoA dehydrogenase",-1.225083617,5.2e-48,-1.464446928,3.49e-33,"coenzyme-I",NA,"Phase 2"
"PSMA6",883,"proteasome 20S subunit alpha 6",0.572489141,5.85e-39,1.449625326,1.88e-43,"bortezomib","NFkB pathway inhibitor, proteasome inhibitor","Launched"
"PSMA6",883,"proteasome 20S subunit alpha 6",0.572489141,5.85e-39,1.449625326,1.88e-43,"carfilzomib","proteasome inhibitor","Launched"
"ACTR3",886,"actin related protein 3",0.442020202,1.33e-32,1.101421434,4e-57,"CK-636","actin related protein inhibitor","Preclinical"
"SMOX",890,"spermine oxidase",1.878041842,4.41e-64,1.788606277,2.27e-24,"spermine",NA,"Preclinical"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"belinostat","HDAC inhibitor","Launched"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"dacinostat","HDAC inhibitor","Phase 1"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"givinostat","HDAC inhibitor","Phase 3"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"JNJ-26481585","HDAC inhibitor","Phase 2"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"LMK-235","HDAC inhibitor","Preclinical"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"romidepsin","HDAC inhibitor","Launched"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"SB-939","HDAC inhibitor","Phase 3"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"scriptaid","HDAC inhibitor","Preclinical"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"trichostatin-a","HDAC inhibitor","Phase 1"
"HDAC5",897,"histone deacetylase 5",-0.864845737,1.7e-26,-2.84845336,3.33e-89,"vorinostat","HDAC inhibitor","Launched"
"SFRP1",924,"secreted frizzled related protein 1",-0.70654139,1.27e-42,-1.838902516,3.55e-34,"WAY-316606","secreted frizzled related protein inhibitor","Preclinical"
"ACADSB",930,"acyl-CoA dehydrogenase short/branched chain",-1.644507543,6.24e-66,-1.076836156,7.45e-22,"valproic-acid","benzodiazepine receptor agonist, HDAC inhibitor","Launched"
"EPHB3",934,"EPH receptor B3",-3.442405966,6.17e-24,-2.179156909,2.06e-102,"vandetanib","EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"GALE",935,"UDP-galactose-4-epimerase",0.807797093,3.18e-30,1.559066352,4.03e-56,"nadide","free radical scavenger","Launched"
"NPEPPS",936,"aminopeptidase puromycin sensitive",-0.948912217,4.48e-174,-0.448195164,2.06e-13,"tosedostat","peptidase inhibitor","Phase 2"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"alvocidib","CDK inhibitor","Phase 2"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"AT-7519","CDK inhibitor","Phase 2"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"BMS-387032","CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor","Phase 1"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"CDK9-IN-6","CDK inhibitor","Preclinical"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"dinaciclib","CDK inhibitor","Phase 3"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"LY2857785","CDK inhibitor","Preclinical"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"PHA-793887","CDK inhibitor","Phase 1"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"P276-00","CDK inhibitor","Phase 2"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"RGB-286638","CDK inhibitor","Phase 1"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"roscovitine","CDK inhibitor","Phase 2"
"CDK9",937,"cyclin dependent kinase 9",0.621101745,2.22e-39,1.012616651,2.7e-37,"TG-02","CDK inhibitor, FLT3 inhibitor, JAK inhibitor","Phase 1/Phase 2"
"NFKBIA",945,"NFKB inhibitor alpha",1.196079154,6.59e-39,1.360263613,2.2e-37,"aspirin","cyclooxygenase inhibitor","Launched"
"NFKBIA",945,"NFKB inhibitor alpha",1.196079154,6.59e-39,1.360263613,2.2e-37,"BAY-11-7085","NFkB pathway inhibitor","Preclinical"
"NFKBIA",945,"NFKB inhibitor alpha",1.196079154,6.59e-39,1.360263613,2.2e-37,"GS-143","ubiquitin ligase inhibitor","Preclinical"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"albendazole","tubulin polymerization inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"cabazitaxel","microtubule inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"colchicine","microtubule inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"docetaxel","tubulin polymerization inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"mebendazole","tubulin polymerization inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"oxibendazole","tubulin polymerization inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"paclitaxel","tubulin polymerization inhibitor","Launched"
"TUBB4B",971,"tubulin beta 4B class IVb",-0.526849192,3.04e-77,-0.875528448,5.63e-18,"vinorelbine","tubulin polymerization inhibitor","Launched"
"HLCS",973,"holocarboxylase synthetase",0.716195883,9.47e-48,1.202593069,4.06e-27,"biotin","vitamin B","Launched"
"UCK2",976,"uridine-cytidine kinase 2",0.532935031,2.92e-43,0.757976167,5.74e-30,"citric-acid","coagulation factor inhibitor","Preclinical"
"UCK2",976,"uridine-cytidine kinase 2",0.532935031,2.92e-43,0.757976167,5.74e-30,"cytidine",NA,"Launched"
"UCK2",976,"uridine-cytidine kinase 2",0.532935031,2.92e-43,0.757976167,5.74e-30,"uridine-5'-triphosphate","purinergic receptor activator","Launched"
"SLC29A4",978,"solute carrier family 29 member 4",-1.976009685,1.18e-33,-1.959465535,1.94e-41,"cimetidine","histamine receptor antagonist","Launched"
"SLC29A4",978,"solute carrier family 29 member 4",-1.976009685,1.18e-33,-1.959465535,1.94e-41,"quinidine","sodium channel blocker","Launched"
"SLC29A4",978,"solute carrier family 29 member 4",-1.976009685,1.18e-33,-1.959465535,1.94e-41,"quinine","hemozoin biocrystallization inhibitor","Launched"
"SLC29A4",978,"solute carrier family 29 member 4",-1.976009685,1.18e-33,-1.959465535,1.94e-41,"verapamil","calcium channel blocker","Launched"
"PTPRS",980,"protein tyrosine phosphatase receptor type S",-1.90646407,3.58e-158,-0.645230637,7.51e-13,"alendronate","bone resorption inhibitor","Launched"
"PTPRS",980,"protein tyrosine phosphatase receptor type S",-1.90646407,3.58e-158,-0.645230637,7.51e-13,"etidronic-acid","bone resorption inhibitor","Launched"
"DDR2",990,"discoidin domain receptor tyrosine kinase 2",0.355851304,4.71e-22,1.634045496,1.39e-97,"DDR1-IN-1","discoidin domain receptor inhibitor","Preclinical"
"DDR2",990,"discoidin domain receptor tyrosine kinase 2",0.355851304,4.71e-22,1.634045496,1.39e-97,"regorafenib","FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"DDR2",990,"discoidin domain receptor tyrosine kinase 2",0.355851304,4.71e-22,1.634045496,1.39e-97,"sorafenib","FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"IDH3A",1012,"isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha",0.683074502,4.44e-64,0.757606671,1.2e-19,"coenzyme-I",NA,"Phase 2"
"ATP1B1",1013,"ATPase Na+/K+ transporting subunit beta 1",-0.89971462,3.16e-38,-1.639423557,5.95e-33,"deslanoside","Na/K-ATPase inhibitor","Launched"
"ATP1B1",1013,"ATPase Na+/K+ transporting subunit beta 1",-0.89971462,3.16e-38,-1.639423557,5.95e-33,"digitoxin","ATPase inhibitor","Launched"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"A-674563","AKT inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"adenosine-triphosphate","adenosine receptor agonist","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"API-1","AKT inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"arsenic-trioxide","apoptosis stimulant","Launched"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"AT13148","protein kinase inhibitor","Phase 1"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"AZD5363","AKT inhibitor","Phase 3"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"bisindolylmaleimide-IX","PKC inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"BMS-536924","IGF-1 inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"BMS-754807","IGF-1 inhibitor","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"CaMKII-IN-1","calcium/calmodulin dependent protein kinase inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"canertinib","EGFR inhibitor","Phase 3"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"enzastaurin","PKC inhibitor","Phase 3"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"GDC-0068","AKT inhibitor","Phase 3"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"GSK2110183","AKT inhibitor","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"GSK690693","AKT inhibitor","Phase 1"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"hexamethylenebisacetamide","AKT inhibitor, differentiation inducer, NFKB pathway inhibitor","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"KN-62","calcium/calmodulin dependent protein kinase inhibitor, purinergic receptor antagonist","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"LY294002","DNA dependent protein kinase inhibitor, mTOR inhibitor, phosphodiesterase inhibitor, PI3K inhibitor, PLK inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"MK-2206","AKT inhibitor","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"PD-98059","MEK inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"perifosine","AKT inhibitor","Phase 3"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"SB-202190","p38 MAPK inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"SB-203580","p38 MAPK inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"SB-747651A","kinase inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"TIC10","AKT inhibitor, TRAIL modulator","Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"triciribine","AKT inhibitor","Phase 1/Phase 2"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"U-0126","MEK inhibitor","Preclinical"
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13,"uprosertib","AKT inhibitor","Phase 2"
